City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
69,Grand Gaube,MU,74.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
71,Madanapalle,IN,75.22,broken clouds,13.55,78.5,Prithvi Lodge
73,Coahuayana,MX,82.4,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
74,Albany,US,75.15,overcast clouds,42.6001,-73.9662,
75,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
76,Matara,LK,78.8,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
77,Cairns,AU,65.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
81,Bengkulu,ID,76.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
82,Sioux Lookout,CA,78.8,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
83,Sandakan,MY,78.48,few clouds,5.8402,118.1179,Hotel Sandakan
84,Eureka,US,69.21,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
85,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
86,Longyan,CN,76.24,light rain,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
90,Katsuura,JP,72.1,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
92,Kavieng,PG,81.41,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
94,Morondava,MG,70.39,broken clouds,-20.2833,44.2833,La Case Bambou
95,Altay,CN,68.5,few clouds,47.8667,88.1167,Jinqiao Hotel
96,Komsomolskiy,UZ,78.22,few clouds,40.4272,71.7189,Ikathouse
97,Mahanoro,MG,68.68,few clouds,-19.9,48.8,BUNGALOW MAHAMANINA
101,Hilo,US,80.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
102,Rosetta,EG,69.8,clear sky,31.4044,30.4164,Green Valley
104,Kiruna,SE,65.32,broken clouds,67.8557,20.2251,Camp Ripan
106,Dordrecht,NL,72.05,overcast clouds,51.81,4.6736,Bastion Hotel Dordrecht - Papendrecht
120,Kalmunai,LK,79.81,overcast clouds,7.4167,81.8167,VS Villa
122,Tautira,PF,84.0,light rain,-17.7333,-149.15,Pension Oaoa
130,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
131,Belmonte,BR,81.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
132,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
134,Sao Filipe,CV,74.12,clear sky,14.8961,-24.4956,Hotel Xaguate
135,Saint-Philippe,RE,72.95,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
136,Ixtapa,MX,83.43,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
141,Beyneu,KZ,77.88,clear sky,45.3167,55.2,NUR
142,Galle,LK,79.77,overcast clouds,6.0367,80.217,Amangalla
146,Santa Isabel,BR,81.7,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
147,High Level,CA,73.51,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
148,Sri Aman,MY,77.0,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
153,Carazinho,BR,67.8,clear sky,-28.2839,-52.7864,San Remo Hotel
154,Puerto Ayora,EC,78.8,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
155,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
156,Buin,CL,77.32,overcast clouds,-33.7333,-70.75,Paihuen
157,Shingu,JP,71.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
158,North Bend,US,78.94,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
159,Faanui,PF,79.81,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
161,Atuona,PF,78.93,light rain,-9.8,-139.0333,Villa Enata
163,Iracoubo,GF,80.28,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
164,Kathmandu,NP,69.8,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
165,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
166,Kashi,CN,71.6,few clouds,39.4547,75.9797,帕米尔青年旅舍
172,Lengshuitan,CN,65.91,overcast clouds,26.4111,111.5956,Jialong Hotel
174,Bairiki,KI,80.6,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
177,Yenagoa,NG,77.59,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
179,Ribeira Grande,PT,66.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
180,Cap Malheureux,MU,74.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
182,Charleston,US,81.0,overcast clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
183,Kloulklubed,PW,75.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
184,Hami,CN,79.99,clear sky,42.8,93.45,Laoyutang Resort
185,Quatre Cocos,MU,74.08,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
190,Praia Da Vitoria,PT,66.45,scattered clouds,38.7333,-27.0667,Hotel Branco I
194,Goderich,CA,76.03,scattered clouds,43.7501,-81.7165,Harmony Inn
195,Carupano,VE,83.73,overcast clouds,10.6678,-63.2585,Hotel La dorada
197,Honiara,SB,78.21,overcast clouds,-9.4333,159.95,Heritage Park Hotel
199,Grafton,US,75.45,mist,42.207,-71.6856,The Grafton Inn
200,Traverse City,US,84.94,scattered clouds,44.7631,-85.6206,Bayshore Resort
201,Ucluelet,CA,76.95,broken clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
202,Margate,GB,67.86,few clouds,51.3813,1.3862,Premier Inn Margate hotel
209,Kaliua,TZ,72.52,overcast clouds,-5.0606,31.7936,Millennium Complex
212,Bijapur,IN,75.43,overcast clouds,16.8333,75.7,Arihant Colony
215,Kismayo,SO,78.71,broken clouds,-0.3582,42.5454,Agan-Hotel
216,Vao,NC,71.26,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
221,Normandin,CA,73.53,overcast clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
223,Diego De Almagro,CL,76.24,clear sky,-26.3667,-70.05,hotel luna del desierto
227,Tromso,NO,66.85,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
228,Cordoba,AR,81.75,clear sky,-31.4135,-64.1811,Hotel Sussex
231,Qui Nhon,VN,82.56,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
232,Isangel,VU,72.88,scattered clouds,-19.55,169.2667,Tanna Lodge
234,Mahebourg,MU,74.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
235,Paciran,ID,78.58,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
238,Vanimo,PG,77.29,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
241,Nouakchott,MR,72.36,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
242,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
243,Maragogi,BR,77.2,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
244,Boueni,YT,76.98,scattered clouds,-12.9025,45.0761,The feet in water
245,Namibe,AO,70.83,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
246,Barranca,PE,68.56,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
247,Canaway,PH,77.83,overcast clouds,13.3185,123.7131,Dos Montes Spring Resort
248,Wismar,DE,65.79,light rain,53.9,11.4667,Vienna House Stadt Hamburg
251,Bud,US,77.2,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
253,Tarrega,ES,69.64,clear sky,41.647,1.1396,Hotel Ciutat de Tàrrega
254,Mae Hong Son,TH,77.25,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
256,Jasper,US,82.02,few clouds,37.2001,-94.3502,Guest House Motel
259,Nakhon Thai,TH,77.79,overcast clouds,17.1006,100.8374,Phet resort
261,Le Port,RE,73.36,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
262,Antalaha,MG,70.66,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
264,Miram Shah,PK,80.31,clear sky,33.0086,70.0697,Bachelor Hostel
265,Fortuna,US,68.94,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
268,Diu,IN,83.07,scattered clouds,20.7141,70.9822,Hotel Relax Inn
271,Sumbe,AO,76.05,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
273,Paita,PE,78.8,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
274,Bethel,US,72.01,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
277,Angoche,MZ,74.88,scattered clouds,-16.2325,39.9086,Guest House HESADA
