City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
193,Chuy,UY,2021-06-03 19:40:50,-33.6971,-53.4616,56.19,56,13,6.49,few clouds
194,Goderich,CA,2021-06-03 19:40:50,43.7501,-81.7165,76.03,73,26,6.91,scattered clouds
195,Carupano,VE,2021-06-03 19:40:51,10.6678,-63.2585,83.73,67,100,15.35,overcast clouds
196,Moussoro,TD,2021-06-03 19:40:51,13.6408,16.4901,95.85,20,8,6.13,clear sky
197,Honiara,SB,2021-06-03 19:40:52,-9.4333,159.95,78.21,88,97,3.8,overcast clouds
198,Tankhoy,RU,2021-06-03 19:40:52,51.5528,105.1306,53.19,60,0,4.63,clear sky
199,Grafton,US,2021-06-03 19:40:52,42.207,-71.6856,75.45,90,90,6.78,mist
200,Traverse City,US,2021-06-03 19:40:53,44.7631,-85.6206,84.94,26,40,17.27,scattered clouds
201,Ucluelet,CA,2021-06-03 19:36:23,48.9329,-125.5528,76.95,84,83,5.01,broken clouds
202,Margate,GB,2021-06-03 19:40:53,51.3813,1.3862,67.86,69,15,1.99,few clouds
203,Skibbereen,IE,2021-06-03 19:40:54,51.55,-9.2667,53.4,88,100,12.33,overcast clouds
204,Port Elizabeth,ZA,2021-06-03 19:40:54,-33.918,25.5701,46.4,87,40,4.61,scattered clouds
205,Chubbuck,US,2021-06-03 19:40:55,42.9208,-112.4661,89.69,25,40,10.0,scattered clouds
206,Santa Cruz,BO,2021-06-03 19:39:08,-17.8,-63.1667,85.46,58,40,9.22,scattered clouds
207,Mount Isa,AU,2021-06-03 19:40:55,-20.7333,139.5,55.17,82,18,8.05,few clouds
208,Methoni,GR,2021-06-03 19:40:55,36.8197,21.7049,62.46,70,8,9.35,clear sky
209,Kaliua,TZ,2021-06-03 19:40:56,-5.0606,31.7936,72.52,55,100,2.44,overcast clouds
210,Grand Forks,US,2021-06-03 19:40:56,47.9417,-97.4337,91.33,25,40,6.91,scattered clouds
